NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
O.S. Geiger,Calgary School District No. 19,Public School,O.S. Geiger School,100 Castlebrook Drive NE,Calgary,AB,GRPRE-K-6,N,CBE Data,9271,Y,Y,N,N,2019/03/03,T3J2J4,1384095,-113.961540505795,51.1048865124156,"(51.1048865124156, -113.961540505795)"
Christ the King,Calgary Roman Catholic Separate School District No. 1,Separate School,Christ the King Catholic School,333 Cranston Way SE,Calgary,AB,Elementary / Junior High,N,CSSD Data,1484,N,Y,Y,N,2019/03/03,T3M1K6,1382185,-113.975970276487,50.8878369200581,"(50.8878369200581, -113.975970276487)"
Delta West Academy,Delta West Academy Society,Private School,Delta West Academy,414 - 11A Street N.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9972,N,Y,Y,Y,2019/03/03,T2E4P3,1000916,-114.034624896863,51.0551076760877,"(51.0551076760877, -114.034624896863)"
Mayland Heights,Calgary School District No. 19,Public School,Mayland Heights School,2324 Maunsell Drive NE,Calgary,AB,GRK-6,N,CBE Data,9223,Y,Y,N,N,2019/03/03,T2E6A2,1381144,-114.007292770186,51.0589518131812,"(51.0589518131812, -114.007292770186)"
Brentwood,Calgary School District No. 19,Public School,Brentwood School,1231 Northmount Drive NW,Calgary,AB,GRK-5,N,CBE Data,9204,Y,Y,N,N,2019/03/03,T2L0C9,1384057,-114.123857993878,51.0904894508588,"(51.0904894508588, -114.123857993878)"
Annie Gale,Calgary School District No. 19,Public School,Annie Gale School,577 Whiteridge Way NE,Calgary,AB,GR6-9,N,CBE Data,9686,N,Y,Y,N,2019/03/03,T1Y4S8,1383125,-113.968942838186,51.0890726246707,"(51.0890726246707, -113.968942838186)"
Connaught,Calgary School District No. 19,Public School,Connaught School,1121 12 Avenue SW,Calgary,AB,GRK-6,N,CBE Data,9114,Y,Y,N,N,2019/03/03,T2R0J8,1371115,-114.087716154584,51.0415326787271,"(51.0415326787271, -114.087716154584)"
Cambrian Heights,Calgary School District No. 19,Public School,Cambrian Heights School,640 Northmount Drive NW,Calgary,AB,GRK-6,N,CBE Data,9208,Y,Y,N,N,2019/03/03,T2K3J5,1382294,-114.087974384129,51.0853517491053,"(51.0853517491053, -114.087974384129)"
Monsignor E.L. Doyle,Calgary Roman Catholic Separate School District No. 1,Separate School,Monsignor E. L. Doyle Elementary School,8887 Scurfield Dr NW,Calgary,AB,Elementary,N,CSSD Data,8555,N,Y,N,N,2019/03/03,T3L1H6,1383516,-114.216424423644,51.1220284036888,"(51.1220284036888, -114.216424423644)"
Dalhousie,Calgary School District No. 19,Public School,Dalhousie School,4440 Dallyn Street NW,Calgary,AB,GRK-5,N,CBE Data,9240,Y,Y,N,N,2019/03/03,T3A1K3,1384096,-114.151378465006,51.1065269342039,"(51.1065269342039, -114.151378465006)"
Holy Family,Calgary Roman Catholic Separate School District No. 1,Separate School,Holy Family School,904 32 St SE,Calgary,AB,Elementary,N,CSSD Data,8503,N,Y,N,N,2019/03/03,T2A0Z1,1382133,-113.987863828179,51.0455361643882,"(51.0455361643882, -113.987863828179)"
Dr. Gladys McKelvie Egbert,Calgary School District No. 19,Public School,Dr. Gladys McKelvie Egbert,6033 Madigan Drive NE,Calgary,AB,GR6-9,N,CBE Data,9350,N,Y,Y,N,2019/03/03,T2A5G9,1381143,-113.941529090033,51.0588922137337,"(51.0588922137337, -113.941529090033)"
